character,Cantonese,Mandarin,Initial_Cantonese,Rhyme_Cantonese,Tone_Cantonese,Initial_Mandarin,Rhyme_Mandarin,Tone_Mandarin
干,gon1,gan1,g,on,1,g,an,1
造,zou6,zao4,z,ou,6,z,ao,4
言,jin4,yan2,j,in,4,y,än,2
联,lyun4,lian2,l,ün,4,l,ian,2
持,ci4,chi2,c,i,4,ch,i,2
组,zou2,zu3,z,ou,2,z,u,3
每,mui5,mei3,m,ui,5,m,ei,3
济,zai3,ji4,z,ai,3,j,i,4
车,ce1,che1,c,e,1,ch,e,1
亲,can1,qin1,c,an,1,q,in,1
极,gik6,ji2,g,ik,6,j,i,2
林,lam4,lin2,l,am,4,l,in,2
服,fuk6,fu2,f,uk,6,f,u,2
快,faai3,kuai4,f,aai,3,k,uai,4
办,baan6,ban4,b,aan,6,b,an,4
议,ji5,yi4,j,i,5,y,i,4
往,wong5,wang3,w,ong,5,w,ang,3
元,jyun4,yuan2,j,ün,4,y,üän,2
英,jing1,ying1,j,ing,1,y,ing,1
士,si6,shi4,s,i,6,sh,i,4
证,zing3,zheng4,z,ing,3,zh,eng,4
近,gan6,jin4,g,an,6,j,in,4
失,sat1,shi1,s,at,1,sh,i,1
转,zyun3,zhuan3,z,ün,3,zh,uan,3
夫,fu1,fu1,f,u,1,f,u,1
令,ling4,ling4,l,ing,4,l,ing,4
准,zeon2,zhun3,z,eon,2,zh,un,3
布,bou3,bu4,b,ou,3,b,u,4
始,ci2,shi3,c,i,2,sh,i,3
怎,zam2,zen3,z,am,2,z,en,3
呢,ne1,ni2,n,e,1,n,i,2
存,cyun4,cun2,c,ün,4,c,un,2
未,mei6,wei4,m,ei,6,w,ei,4
远,jyun5,yuan3,j,ün,5,y,üän,3
叫,giu3,jiao4,g,iu,3,j,iao,4
台,toi4,tai2,t,oi,4,t,ai,2
单,sin6,dan1,s,in,6,d,an,1
影,jing2,ying3,j,ing,2,y,ing,3
具,geoi6,ju4,g,eoi,6,j,ü,4
罗,lo4,luo1,l,o,4,l,uo,1
字,zi6,zi4,z,i,6,z,i,4
爱,oi3,ai4, ,oi,3, ,ai,4
击,gik1,ji2,g,ik,1,j,i,2
流,lau4,liu2,l,au,4,l,iu,2
备,bei6,bei4,b,ei,6,b,ei,4
兵,bing1,bing1,b,ing,1,b,ing,1
连,lin4,lian2,l,in,4,l,ian,2
