character,Cantonese,Mandarin,Initial_Cantonese,Rhyme_Cantonese,Tone_Cantonese,Initial_Mandarin,Rhyme_Mandarin,Tone_Mandarin
冒,mou6,mao4,m,ou,6,m,ao,4
债,zaai3,zhai4,z,aai,3,zh,ai,4
曼,maan6,man4,m,aan,6,m,an,4
融,jung4,rong2,j,ung,4,r,ong,2
惯,gwaan3,guan4,gw,aan,3,g,uan,4
享,hoeng2,xiang3,h,oeng,2,x,iang,3
戴,daai3,dai4,d,aai,3,d,ai,4
童,tung4,tong2,t,ung,4,t,ong,2
犹,jau4,you2,j,au,4,y,ou,2
乘,sing4,cheng2,s,ing,4,ch,eng,2
挂,gwaa3,gua4,gw,aa,3,g,ua,4
奖,zoeng2,jiang3,z,oeng,2,j,iang,3
绍,siu6,shao4,s,iu,6,sh,ao,4
厚,hau5,hou4,h,au,5,h,ou,4
纵,zung3,zong4,z,ung,3,z,ong,4
障,zoeng3,zhang4,z,oeng,3,zh,ang,4
讯,seon3,xun4,s,eon,3,x,ün,4
涉,sip3,she4,s,ip,3,sh,e,4
彻,cit3,che4,c,it,3,ch,e,4
刊,hon2,kan1,h,on,2,k,an,1
丈,zoeng6,zhang4,z,oeng,6,zh,ang,4
爆,baau3,bao4,b,aau,3,b,ao,4
乌,wu1,wu1,w,u,1,w,u,1
役,jik6,yi4,j,ik,6,y,i,4
描,miu4,miao2,m,iu,4,m,iao,2
洗,sai2,xi3,s,ai,2,x,i,3
玛,maa5,ma3,m,aa,5,m,a,3
患,waan6,huan4,w,aan,6,h,uan,4
妙,miu6,miao4,m,iu,6,m,iao,4
镜,geng3,jing4,g,eng,3,j,ing,4
唱,coeng3,chang4,c,oeng,3,ch,ang,4
烦,faan4,fan2,f,aan,4,f,an,2
签,cim1,qian1,c,im,1,q,iän,1
仙,sin1,xian1,s,in,1,x,iän,1
彼,bei2,bi3,b,ei,2,b,i,3
弗,fat1,fu2,f,at,1,f,u,2
症,zing1,zheng4,z,ing,1,zh,eng,4
仿,fong2,fang3,f,ong,2,f,ang,3
倾,king1,qing1,k,ing,1,q,ing,1
牌,paai4,pai2,p,aai,4,p,ai,2
陷,haam6,xian4,h,aam,6,x,iän,4
鸟,niu5,niao3,n,iu,5,n,iao,3
轰,gwang1,hong1,gw,ang,1,h,ong,1
咱,zaa1,zan2,z,aa,1,z,an,2
菜,coi3,cai4,c,oi,3,c,ai,4
闭,bai3,bi4,b,ai,3,b,i,4
奋,fan5,fen4,f,an,5,f,en,4
庆,hing3,qing4,h,ing,3,q,ing,4
撤,cit3,che4,c,it,3,ch,e,4
泪,leoi6,lei4,l,eoi,6,l,ei,4
茶,caa4,cha2,c,aa,4,ch,a,2
疾,zat6,ji2,z,at,6,j,i,2
缘,jyun4,yuan2,j,ün,4,y,üän,2
播,bo3,bo1,b,o,3,b,o,1
朗,long5,lang3,l,ong,5,l,ang,3
杜,dou6,du4,d,ou,6,d,u,4
奶,naai5,nai3,n,aai,5,n,ai,3
季,gwai3,ji4,gw,ai,3,j,i,4
丹,daan1,dan1,d,aan,1,d,an,1
狗,gau2,gou3,g,au,2,g,ou,3
尾,mei5,wei3,m,ei,5,w,ei,3
仪,ji4,yi2,j,i,4,y,i,2
偷,tau1,tou1,t,au,1,t,ou,1
奔,ban1,ben1,b,an,1,b,en,1
珠,zyu1,zhu1,z,ü,1,zh,u,1
虫,cung4,chong2,c,ung,4,ch,ong,2
驻,zyu3,zhu4,z,ü,3,zh,u,4
孔,hung2,kong3,h,ung,2,k,ong,3
宜,ji4,yi2,j,i,4,y,i,2
艾,ngaai6,ai4,ng,aai,6, ,ai,4
桥,kiu4,qiao2,k,iu,4,q,iao,2
淡,taam5,dan4,t,aam,5,d,an,4
翼,jik6,yi4,j,ik,6,y,i,4
恨,han6,hen4,h,an,6,h,en,4
繁,faan4,fan2,f,aan,4,f,an,2
寒,hon4,han2,h,on,4,h,an,2
伴,bun6,ban4,b,un,6,b,an,4
叹,taan3,tan4,t,aan,3,t,an,4
旦,daan3,dan4,d,aan,3,d,an,4
愈,jyu6,yu4,j,ü,6,y,ü,4
潮,ciu4,chao2,c,iu,4,ch,ao,2
粮,loeng4,liang2,l,oeng,4,l,iang,2
缩,suk1,suo1,s,uk,1,s,uo,1
罢,baa6,ba4,b,aa,6,b,a,4
聚,zeoi6,ju4,z,eoi,6,j,ü,4
径,ging3,jing4,g,ing,3,j,ing,4
恰,hap1,qia4,h,ap,1,q,ia,4
挑,tiu1,tiao1,t,iu,1,t,iao,1
袋,doi6,dai4,d,oi,6,d,ai,4
灰,fui1,hui1,f,ui,1,h,ui,1
捕,bou6,bu3,b,ou,6,b,u,3
徐,ceoi4,xu2,c,eoi,4,x,ü,2
珍,zan1,zhen1,z,an,1,zh,en,1
幕,mok6,mu4,m,ok,6,m,u,4
映,jing2,ying4,j,ing,2,y,ing,4
裂,lit6,lie4,l,it,6,l,ie,4
泰,taai3,tai4,t,aai,3,t,ai,4
隔,gaak3,ge2,g,aak,3,g,e,2
启,kai2,qi3,k,ai,2,q,i,3
尖,zim1,jian1,z,im,1,j,iän,1
忠,zung1,zhong1,z,ung,1,zh,ong,1
累,leoi5,lei4,l,eoi,5,l,ei,4
炎,jim4,yan2,j,im,4,y,än,2
暂,zaam6,zan4,z,aam,6,z,an,4
估,gu2,gu1,g,u,2,g,u,1
泛,faan6,fan4,f,aan,6,f,an,4
荒,fong1,huang1,f,ong,1,h,uang,1
偿,soeng4,chang2,s,oeng,4,ch,ang,2
横,waang4,heng2,w,aang,4,h,eng,2
拒,keoi5,ju4,k,eoi,5,j,ü,4
瑞,seoi6,rui4,s,eoi,6,r,ui,4
忆,jik1,yi4,j,ik,1,y,i,4
孤,gu1,gu1,g,u,1,g,u,1
鼻,bei6,bi2,b,ei,6,b,i,2
闹,naau6,nao4,n,aau,6,n,ao,4
羊,joeng4,yang2,j,oeng,4,y,ang,2
呆,ngoi4,dai1,ng,oi,4,d,ai,1
厉,lai6,li4,l,ai,6,l,i,4
衡,hang4,heng2,h,ang,4,h,eng,2
胞,baau1,bao1,b,aau,1,b,ao,1
零,ling4,ling2,l,ing,4,l,ing,2
穷,kung4,qiong2,k,ung,4,q,iong,2
舍,se2,she4,s,e,2,sh,e,4
码,maa5,ma3,m,aa,5,m,a,3
赫,haak1,he4,h,aak,1,h,e,4
婆,po4,po2,p,o,4,p,o,2
魂,wan4,hun2,w,an,4,h,un,2
灾,zoi1,zai1,z,oi,1,z,ai,1
洪,hung4,hong2,h,ung,4,h,ong,2
腿,teoi2,tui3,t,eoi,2,t,ui,3
胆,daam2,dan3,d,aam,2,d,an,3
津,zeon1,jin1,z,eon,1,j,in,1
俗,zuk6,su2,z,uk,6,s,u,2
辩,bin6,bian4,b,in,6,b,ian,4
胸,hung1,xiong1,h,ung,1,x,iong,1
晓,hiu2,xiao3,h,iu,2,x,iao,3
劲,ging3,jing4,g,ing,3,j,ing,4
贫,pan4,pin2,p,an,4,p,in,2
仁,jan4,ren2,j,an,4,r,en,2
偶,ngau5,ou3,ng,au,5, ,ou,3
辑,cap1,ji2,c,ap,1,j,i,2
邦,bong1,bang1,b,ong,1,b,ang,1
恢,fui1,hui1,f,ui,1,h,ui,1
赖,laai6,lai4,l,aai,6,l,ai,4
圈,hyun1,quan1,h,ün,1,q,üän,1
摸,mo2,mo1,m,o,2,m,o,1
仰,joeng5,yang3,j,oeng,5,y,ang,3
润,jeon6,run4,j,eon,6,r,un,4
堆,deoi1,dui1,d,eoi,1,d,ui,1
碰,pung3,peng4,p,ung,3,p,eng,4
艇,teng5,ting3,t,eng,5,t,ing,3
稍,saau2,shao1,s,aau,2,sh,ao,1
迟,ci4,chi2,c,i,4,ch,i,2
辆,loeng6,liang4,l,oeng,6,l,iang,4
废,fai3,fei4,f,ai,3,f,ei,4
净,zing6,jing4,z,ing,6,j,ing,4
凶,hung1,xiong1,h,ung,1,x,iong,1
署,cyu5,shu3,c,ü,5,sh,u,3
壁,bik1,bi4,b,ik,1,b,i,4
御,jyu6,yu4,j,ü,6,y,ü,4
奉,fung6,feng4,f,ung,6,f,eng,4
旋,syun4,xuan2,s,ün,4,x,üän,2
冬,dung1,dong1,d,ung,1,d,ong,1
矿,kong3,kuang4,k,ong,3,k,uang,4
抬,toi4,tai2,t,oi,4,t,ai,2
蛋,daan6,dan4,d,aan,6,d,an,4
晨,san4,chen2,s,an,4,ch,en,2
伏,fuk6,fu2,f,uk,6,f,u,2
吹,ceoi1,chui1,c,eoi,1,ch,ui,1
鸡,gai1,ji1,g,ai,1,j,i,1
倍,pui5,bei4,p,ui,5,b,ei,4
糊,wu4,hu2,w,u,4,h,u,2
秦,ceon4,qin2,c,eon,4,q,in,2
盾,teon5,dun4,t,eon,5,d,un,4
杯,bui1,bei1,b,ui,1,b,ei,1
租,zou1,zu1,z,ou,1,z,u,1
骑,ke4,qi2,k,e,4,q,i,2
乏,fat6,fa2,f,at,6,f,a,2
隆,lung4,long2,l,ung,4,l,ong,2
诊,can2,zhen3,c,an,2,zh,en,3
奴,nou4,nu2,n,ou,4,n,u,2
摄,sip3,she4,s,ip,3,sh,e,4
丧,song1,sang1,s,ong,1,s,ang,1
污,wu1,wu1,w,u,1,w,u,1
渡,dou6,du4,d,ou,6,d,u,4
旗,kei4,qi2,k,ei,4,q,i,2
甘,gam1,gan1,g,am,1,g,an,1
耐,noi6,nai4,n,oi,6,n,ai,4
凭,pang4,ping2,p,ang,4,p,ing,2
扎,zaat3,zha1,z,aat,3,zh,a,1
抢,coeng2,qiang3,c,oeng,2,q,iang,3
绪,seoi5,xu4,s,eoi,5,x,ü,4
粗,cou1,cu1,c,ou,1,c,u,1
肩,gin1,jian1,g,in,1,j,iän,1
梁,loeng4,liang2,l,oeng,4,l,iang,2
幻,waan6,huan4,w,aan,6,h,uan,4
菲,fei1,fei1,f,ei,1,f,ei,1
皆,gaai1,jie1,g,aai,1,j,ie,1
碎,seoi3,sui4,s,eoi,3,s,ui,4
宙,zau6,zhou4,z,au,6,zh,ou,4
叔,suk1,shu1,s,uk,1,sh,u,1
岩,ngaam4,yan2,ng,aam,4,y,än,2
荡,dong6,dang4,d,ong,6,d,ang,4
综,zung3,zong4,z,ung,3,z,ong,4
爬,paa4,pa2,p,aa,4,p,a,2
荷,ho6,he2,h,o,6,h,e,2
悉,sik1,xi1,s,ik,1,x,i,1
蒂,dai3,di4,d,ai,3,d,i,4
返,faan2,fan3,f,aan,2,f,an,3
井,zeng2,jing3,z,eng,2,j,ing,3
壮,zong3,zhuang4,z,ong,3,zh,uang,4
薄,bok6,bo2,b,ok,6,b,o,2
悄,ciu2,qiao3,c,iu,2,q,iao,3
扫,sou3,sao3,s,ou,3,s,ao,3
敏,man5,min3,m,an,5,m,in,3
碍,ngoi6,ai4,ng,oi,6, ,ai,4
殖,zik6,zhi2,z,ik,6,zh,i,2
详,coeng4,xiang2,c,oeng,4,x,iang,2
迪,dik6,di2,d,ik,6,d,i,2
矛,maau4,mao2,m,aau,4,m,ao,2
霍,fok3,huo4,f,ok,3,h,uo,4
允,wan5,yun3,w,an,5,y,ün,3
幅,fuk1,fu2,f,uk,1,f,u,2
撒,saat3,sa1,s,aat,3,s,a,1
剩,sing6,sheng4,s,ing,6,sh,eng,4
凯,hoi2,kai3,h,oi,2,k,ai,3
颗,fo2,ke1,f,o,2,k,e,1
骂,maa6,ma4,m,aa,6,m,a,4
赏,soeng2,shang3,s,oeng,2,sh,ang,3
液,jik6,ye4,j,ik,6,y,e,4
番,faan1,fan1,f,aan,1,f,an,1
箱,soeng1,xiang1,s,oeng,1,x,iang,1
贴,tip3,tie1,t,ip,3,t,ie,1
漫,maan6,man4,m,aan,6,m,an,4
酸,syun1,suan1,s,ün,1,s,uan,1
郎,long2,lang2,l,ong,2,l,ang,2
腰,jiu1,yao1,j,iu,1,y,ao,1
舒,syu1,shu1,s,ü,1,sh,u,1
眉,mei4,mei2,m,ei,4,m,ei,2
忧,jau1,you1,j,au,1,y,ou,1
浮,fau4,fu2,f,au,4,f,u,2
辛,san1,xin1,s,an,1,x,in,1
恋,lyun2,lian4,l,ün,2,l,ian,4
餐,caan1,can1,c,aan,1,c,an,1
吓,haak3,xia4,h,aak,3,x,ia,4
挺,ting5,ting3,t,ing,5,t,ing,3
励,lai6,li4,l,ai,6,l,i,4
辞,ci4,ci2,c,i,4,c,i,2
艘,sau2,sao1,s,au,2,s,ao,1
键,gin6,jian4,g,in,6,j,iän,4
伍,ng5,wu3, ,_ng,5,w,u,3
峰,fung1,feng1,f,ung,1,f,eng,1
尺,cek3,chi3,c,ek,3,ch,i,3
昨,zok3,zuo2,z,ok,3,z,uo,2
黎,lai4,li2,l,ai,4,l,i,2
辈,bui3,bei4,b,ui,3,b,ei,4
贯,gun3,guan4,g,un,3,g,uan,4
侦,zing1,zhen1,z,ing,1,zh,en,1
滑,waat6,hua2,w,aat,6,h,ua,2
券,gyun3,quan4,g,ün,3,q,üän,4
崇,sung4,chong2,s,ung,4,ch,ong,2
扰,jiu2,rao3,j,iu,2,r,ao,3
宪,hin3,xian4,h,in,3,x,iän,4
绕,jiu5,rao4,j,iu,5,r,ao,4
趋,ceoi1,qu1,c,eoi,1,q,ü,1
慈,ci4,ci2,c,i,4,c,i,2
乔,kiu4,qiao2,k,iu,4,q,iao,2
阅,jyut6,yue4,j,üt,6,y,üe,4
汗,hon6,han4,h,on,6,h,an,4
枝,zi1,zhi1,z,i,1,zh,i,1
拖,to1,tuo1,t,o,1,t,uo,1
墨,mak6,mo4,m,ak,6,m,o,4
胁,hip3,xie2,h,ip,3,x,ie,2
插,caap3,cha1,c,aap,3,ch,a,1
箭,zin3,jian4,z,in,3,j,iän,4
腊,laap6,la4,l,aap,6,l,a,4
粉,fan2,fen3,f,an,2,f,en,3
泥,nai4,ni2,n,ai,4,n,i,2
氏,zi1,shi4,z,i,1,sh,i,4
彭,paang4,peng2,p,aang,4,p,eng,2
拔,bat6,ba2,b,at,6,b,a,2
骗,pin3,pian4,p,in,3,p,ian,4
凤,fung6,feng4,f,ung,6,f,eng,4
慧,wai6,hui4,w,ai,6,h,ui,4
媒,mui4,mei2,m,ui,4,m,ei,2
佩,pui3,pei4,p,ui,3,p,ei,4
愤,fan5,fen4,f,an,5,f,en,4
扑,pok3,pu1,p,ok,3,p,u,1
龄,ling4,ling2,l,ing,4,l,ing,2
驱,keoi1,qu1,k,eoi,1,q,ü,1
惜,sik1,xi1,s,ik,1,x,i,1
豪,hou4,hao2,h,ou,4,h,ao,2
掩,jim2,yan3,j,im,2,y,än,3
兼,gim1,jian1,g,im,1,j,iän,1
跃,joek6,yue4,j,oek,6,y,üe,4
尸,si1,shi1,s,i,1,sh,i,1
肃,suk1,su4,s,uk,1,s,u,4
帕,paak3,pa4,p,aak,3,p,a,4
驶,sai2,shi3,s,ai,2,sh,i,3
堡,bou2,bao3,b,ou,2,b,ao,3
届,gaai3,jie4,g,aai,3,j,ie,4
欣,jan1,xin1,j,an,1,x,in,1
惠,wai6,hui4,w,ai,6,h,ui,4
册,caak3,ce4,c,aak,3,c,e,4
储,cyu5,chu3,c,ü,5,ch,u,3
飘,piu1,piao1,p,iu,1,p,iao,1
桑,song1,sang1,s,ong,1,s,ang,1
闲,haan4,xian2,h,aan,4,x,iän,2
惨,caam2,can3,c,aam,2,c,an,3
洁,git3,jie2,g,it,3,j,ie,2
踪,zung1,zong1,z,ung,1,z,ong,1
勃,but6,bo2,b,ut,6,b,o,2
宾,ban1,bin1,b,an,1,b,in,1
频,pan4,pin2,p,an,4,p,in,2
仇,sau4,chou2,s,au,4,ch,ou,2
磨,mo4,mo2,m,o,4,m,o,2
递,dai6,di4,d,ai,6,d,i,4
邪,ce4,xie2,c,e,4,x,ie,2
撞,zong6,zhuang4,z,ong,6,zh,uang,4
拟,ji5,ni3,j,i,5,n,i,3
滚,gwan2,gun3,gw,an,2,g,un,3
奏,zau3,zou4,z,au,3,z,ou,4
巡,ceon4,xun2,c,eon,4,x,ün,2
颜,ngaan4,yan2,ng,aan,4,y,än,2
剂,zai1,ji4,z,ai,1,j,i,4
绩,zik1,ji1,z,ik,1,j,i,1
贡,gung3,gong4,g,ung,3,g,ong,4
疯,fung1,feng1,f,ung,1,f,eng,1
坡,po1,po1,p,o,1,p,o,1
瞧,ciu4,qiao2,c,iu,4,q,iao,2
截,zit6,jie2,z,it,6,j,ie,2
燃,jin4,ran2,j,in,4,r,an,2
焦,ziu1,jiao1,z,iu,1,j,iao,1
殿,din6,dian4,d,in,6,d,ian,4
伪,ngai6,wei3,ng,ai,6,w,ei,3
柳,lau5,liu3,l,au,5,l,iu,3
锁,so2,suo3,s,o,2,s,uo,3
逼,bik1,bi1,b,ik,1,b,i,1
颇,po1,po3,p,o,1,p,o,3
昏,fan1,hun1,f,an,1,h,un,1
劝,hyun3,quan4,h,ün,3,q,üän,4
呈,cing4,cheng2,c,ing,4,ch,eng,2
搜,sau2,sou1,s,au,2,s,ou,1
勤,kan4,qin2,k,an,4,q,in,2
戒,gaai3,jie4,g,aai,3,j,ie,4
驾,gaa3,jia4,g,aa,3,j,ia,4
漂,piu1,piao1,p,iu,1,p,iao,1
饮,jam2,yin3,j,am,2,y,in,3
曹,cou4,cao2,c,ou,4,c,ao,2
朵,do2,duo3,d,o,2,d,uo,3
仔,zi2,zi3,z,i,2,z,i,3
柔,jau4,rou2,j,au,4,r,ou,2
俩,loeng5,lia3,l,oeng,5,l,ia,3
孟,maang6,meng4,m,aang,6,m,eng,4
腐,fu6,fu3,f,u,6,f,u,3
幼,jau3,you4,j,au,3,y,ou,4
践,cin5,jian4,c,in,5,j,iän,4
籍,zik6,ji2,z,ik,6,j,i,2
牧,muk6,mu4,m,uk,6,m,u,4
凉,loeng4,liang2,l,oeng,4,l,iang,2
牲,saang1,sheng1,s,aang,1,sh,eng,1
佳,gaai1,jia1,g,aai,1,j,ia,1
娜,naa4,nuo2,n,aa,4,n,uo,2
浓,nung4,nong2,n,ung,4,n,ong,2
芳,fong1,fang1,f,ong,1,f,ang,1
稿,gou2,gao3,g,ou,2,g,ao,3
竹,zuk1,zhu2,z,uk,1,zh,u,2
腹,fuk1,fu4,f,uk,1,f,u,4
跌,dit3,die1,d,it,3,d,ie,1
逻,lo4,luo2,l,o,4,l,uo,2
垂,seoi4,chui2,s,eoi,4,ch,ui,2
遵,zyun1,zun1,z,ün,1,z,un,1
脉,mak6,mai4,m,ak,6,m,ai,4
貌,maau6,mao4,m,aau,6,m,ao,4
柏,paak3,bai3,p,aak,3,b,ai,3
狱,juk6,yu4,j,uk,6,y,ü,4
猜,caai1,cai1,c,aai,1,c,ai,1
怜,lin4,lian2,l,in,4,l,ian,2
惑,waak6,huo4,w,aak,6,h,uo,4
陶,tou4,tao2,t,ou,4,t,ao,2
兽,sau3,shou4,s,au,3,sh,ou,4
帐,zoeng3,zhang4,z,oeng,3,zh,ang,4
饰,sik1,shi4,s,ik,1,sh,i,4
贷,taai3,dai4,t,aai,3,d,ai,4
昌,coeng1,chang1,c,oeng,1,ch,ang,1
叙,zeoi6,xu4,z,eoi,6,x,ü,4
躺,tong2,tang3,t,ong,2,t,ang,3
钢,gong3,gang1,g,ong,3,g,ang,1
沟,gau1,gou1,g,au,1,g,ou,1
寄,gei3,ji4,g,ei,3,j,i,4
扶,fu4,fu2,f,u,4,f,u,2
铺,pou1,pu1,p,ou,1,p,u,1
邓,dang6,deng4,d,ang,6,d,eng,4
寿,sau6,shou4,s,au,6,sh,ou,4
惧,geoi6,ju4,g,eoi,6,j,ü,4
询,seon1,xun2,s,eon,1,x,ün,2
汤,tong1,tang1,t,ong,1,t,ang,1
盗,dou6,dao4,d,ou,6,d,ao,4
肥,fei4,fei2,f,ei,4,f,ei,2
尝,soeng4,chang2,s,oeng,4,ch,ang,2
匆,cung1,cong1,c,ung,1,c,ong,1
辉,fai1,hui1,f,ai,1,h,ui,1
奈,noi6,nai4,n,oi,6,n,ai,4
扣,kau3,kou4,k,au,3,k,ou,4
廷,ting4,ting2,t,ing,4,t,ing,2
澳,ngou3,ao4,ng,ou,3, ,ao,4
嘛,maa3,ma5,m,aa,3,m,a,5
董,dung2,dong3,d,ung,2,d,ong,3
迁,cin1,qian1,c,in,1,q,iän,1
凝,jing4,ning2,j,ing,4,n,ing,2
慰,wai3,wei4,w,ai,3,w,ei,4
厌,jim3,yan4,j,im,3,y,än,4
脏,zong6,zang1,z,ong,6,z,ang,1
腾,tang4,teng2,t,ang,4,t,eng,2
幽,jau1,you1,j,au,1,y,ou,1
怨,jyun3,yuan4,j,ün,3,y,üän,4
鞋,haai4,xie2,h,aai,4,x,ie,2
丢,diu1,diu1,d,iu,1,d,iu,1
埋,maai4,mai2,m,aai,4,m,ai,2
泉,cyun4,quan2,c,ün,4,q,üän,2
涌,cung1,yong3,c,ung,1,y,ong,3
辖,hat6,xia2,h,at,6,x,ia,2
躲,do2,duo3,d,o,2,d,uo,3
晋,zeon3,jin4,z,eon,3,j,in,4
紫,zi2,zi3,z,i,2,z,i,3
艰,gaan1,jian1,g,aan,1,j,iän,1
魏,ngai6,wei4,ng,ai,6,w,ei,4
吾,ng4,wu2, ,_ng,4,w,u,2
慌,fong1,huang1,f,ong,1,h,uang,1
祝,zuk1,zhu4,z,uk,1,zh,u,4
邮,jau4,you2,j,au,4,y,ou,2
吐,tou3,tu3,t,ou,3,t,u,3
狠,han2,hen3,h,an,2,h,en,3
鉴,gaam3,jian4,g,aam,3,j,iän,4
曰,jyut6,yue1,j,üt,6,y,üe,1
械,haai6,xie4,h,aai,6,x,ie,4
咬,ngaau5,yao3,ng,aau,5,y,ao,3
邻,leon4,lin2,l,eon,4,l,in,2
赤,cek3,chi4,c,ek,3,ch,i,4
挤,zai1,ji3,z,ai,1,j,i,3
弯,waan1,wan1,w,aan,1,w,an,1
椅,ji2,yi3,j,i,2,y,i,3
陪,pui4,pei2,p,ui,4,p,ei,2
割,got3,ge1,g,ot,3,g,e,1
揭,kit3,jie1,k,it,3,j,ie,1
韦,wai5,wei2,w,ai,5,w,ei,2
悟,ng6,wu4, ,_ng,6,w,u,4
聪,cung1,cong1,c,ung,1,c,ong,1
雾,mou6,wu4,m,ou,6,w,u,4
锋,fung1,feng1,f,ung,1,f,eng,1
梯,tai1,ti1,t,ai,1,t,i,1
猫,maau1,mao1,m,aau,1,m,ao,1
祥,coeng4,xiang2,c,oeng,4,x,iang,2
阔,fut3,kuo4,f,ut,3,k,uo,4
誉,jyu6,yu4,j,ü,6,y,ü,4
筹,cau4,chou2,c,au,4,ch,ou,2
丛,cung4,cong2,c,ung,4,c,ong,2
牵,hin1,qian1,h,in,1,q,iän,1
鸣,ming4,ming2,m,ing,4,m,ing,2
沈,sam2,shen3,s,am,2,sh,en,3
阁,gok3,ge2,g,ok,3,g,e,2
穆,muk6,mu4,m,uk,6,m,u,4
屈,wat1,qu1,w,at,1,q,ü,1
旨,zi2,zhi3,z,i,2,zh,i,3
袖,zau6,xiu4,z,au,6,x,iu,4
猎,lip6,lie4,l,ip,6,l,ie,4
臂,bei3,bi4,b,ei,3,b,i,4
蛇,se4,she2,s,e,4,sh,e,2
贺,ho6,he4,h,o,6,h,e,4
柱,cyu5,zhu4,c,ü,5,zh,u,4
抛,paau1,pao1,p,aau,1,p,ao,1
鼠,syu2,shu3,s,ü,2,sh,u,3
瑟,sat1,se4,s,at,1,s,e,4
戈,gwo1,ge1,gw,o,1,g,e,1
牢,lou4,lao2,l,ou,4,l,ao,2
逊,seon3,xun4,s,eon,3,x,ün,4
迈,maai6,mai4,m,aai,6,m,ai,4
欺,hei1,qi1,h,ei,1,q,i,1
吨,deon6,dun1,d,eon,6,d,un,1
琴,kam4,qin2,k,am,4,q,in,2
衰,seoi1,shuai1,s,eoi,1,sh,uai,1
瓶,ping4,ping2,p,ing,4,p,ing,2
恼,nou5,nao3,n,ou,5,n,ao,3
燕,jin1,yan4,j,in,1,y,än,4
仲,zung6,zhong4,z,ung,6,zh,ong,4
诱,jau5,you4,j,au,5,y,ou,4
狼,long4,lang2,l,ong,4,l,ang,2
池,ci4,chi2,c,i,4,ch,i,2
疼,tang4,teng2,t,ang,4,t,eng,2
卢,lou4,lu2,l,ou,4,l,u,2
仗,zoeng6,zhang4,z,oeng,6,zh,ang,4
冠,gun1,guan1,g,un,1,g,uan,1
粒,lap1,li4,l,ap,1,l,i,4
遥,jiu4,yao2,j,iu,4,y,ao,2
吕,leoi5,lv3,l,eoi,5,l,ü,3
玄,jyun4,xuan2,j,ün,4,x,üän,2
尘,can4,chen2,c,an,4,ch,en,2
冯,fung4,feng2,f,ung,4,f,eng,2
抚,fu2,fu3,f,u,2,f,u,3
浅,cin2,qian3,c,in,2,q,iän,3
敦,deon1,dun1,d,eon,1,d,un,1
纠,dau2,jiu1,d,au,2,j,iu,1
钻,zyun3,zuan4,z,ün,3,z,uan,4
晶,zing1,jing1,z,ing,1,j,ing,1
岂,hei2,qi3,h,ei,2,q,i,3
峡,haap6,xia2,h,aap,6,x,ia,2
苍,cong1,cang1,c,ong,1,c,ang,1
喷,pan3,pen1,p,an,3,p,en,1
耗,hou3,hao4,h,ou,3,h,ao,4
凌,ling4,ling2,l,ing,4,l,ing,2
敲,haau1,qiao1,h,aau,1,q,iao,1
菌,kwan2,jun1,kw,an,2,j,ün,1
赔,pui4,pei2,p,ui,4,p,ei,2
涂,tou4,tu2,t,ou,4,t,u,2
粹,seoi6,cui4,s,eoi,6,c,ui,4
扁,bin2,bian3,b,in,2,b,ian,3
亏,kwai1,yu2,kw,ai,1,y,ü,2
寂,zik6,ji4,z,ik,6,j,i,4
煤,mui4,mei2,m,ui,4,m,ei,2
熊,hung4,xiong2,h,ung,4,x,iong,2
恭,gung1,gong1,g,ung,1,g,ong,1
湿,sap1,shi1,s,ap,1,sh,i,1
循,ceon4,xun2,c,eon,4,x,ün,2
暖,nyun5,nuan3,n,ün,5,n,uan,3
糖,tong4,tang2,t,ong,4,t,ang,2
赋,fu3,fu4,f,u,3,f,u,4
抑,jik1,yi4,j,ik,1,y,i,4
秩,dit6,zhi4,d,it,6,zh,i,4
帽,mou6,mao4,m,ou,6,m,ao,4
哀,oi1,ai1, ,oi,1, ,ai,1
宿,suk1,su4,s,uk,1,s,u,4
踏,daap6,ta4,d,aap,6,t,a,4
烂,laan6,lan4,l,aan,6,l,an,4
袁,jyun4,yuan2,j,ün,4,y,üän,2
侯,hau4,hou2,h,au,4,h,ou,2
抖,dau2,dou3,d,au,2,d,ou,3
夹,gaap3,jia1,g,aap,3,j,ia,1
昆,kwan1,kun1,kw,an,1,k,un,1
肝,gon1,gan1,g,on,1,g,an,1
擦,caat3,ca1,c,aat,3,c,a,1
猪,zyu1,zhu1,z,ü,1,zh,u,1
炼,lin6,lian4,l,in,6,l,ian,4
恒,hang4,heng2,h,ang,4,h,eng,2
慎,san6,shen4,s,an,6,sh,en,4
搬,bun1,ban1,b,un,1,b,an,1
纽,nau2,niu3,n,au,2,n,iu,3
纹,man4,wen2,m,an,4,w,en,2
玻,bo1,bo1,b,o,1,b,o,1
渔,jyu4,yu2,j,ü,4,y,ü,2
磁,ci4,ci2,c,i,4,c,i,2
铜,tung4,tong2,t,ung,4,t,ong,2
齿,ci2,chi3,c,i,2,ch,i,3
跨,kwaa3,kua4,kw,aa,3,k,ua,4
押,aat3,ya1, ,aat,3,y,a,1
怖,bou3,bu4,b,ou,3,b,u,4
漠,mok6,mo4,m,ok,6,m,o,4
疲,pei4,pi2,p,ei,4,p,i,2
叛,bun6,pan4,b,un,6,p,an,4
遣,hin2,qian3,h,in,2,q,iän,3
兹,zi1,zi1,z,i,1,z,i,1
祭,zai3,ji4,z,ai,3,j,i,4
醉,zeoi3,zui4,z,eoi,3,z,ui,4
